open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
4751,4751,4747,4749,6120,AG9999.SHG,2022-01-04,NA,NA,NA
4754,4754,4754,4754,1950,AG9999.SHG,2022-01-05,NA,NA,NA
4696,4696,4696,4696,1380,AG9999.SHG,2022-01-06,NA,NA,NA
4618,4618,4618,4618,390,AG9999.SHG,2022-01-07,NA,NA,NA
4610,4610,4610,4610,390,AG9999.SHG,2022-01-10,NA,NA,NA
4710,4710,4710,4710,6000,AG9999.SHG,2022-01-12,NA,NA,NA
4772,4772,4772,4772,1080,AG9999.SHG,2022-01-14,NA,NA,NA
4743,4750,4734,4744,14040,AG9999.SHG,2022-01-18,NA,NA,NA
4818,4818,4818,4818,90,AG9999.SHG,2022-02-09,NA,NA,NA
4905,4905,4905,4905,360,AG9999.SHG,2022-02-14,NA,NA,NA
4822,4822,4822,4822,30,AG9999.SHG,2022-02-16,NA,NA,NA
4872,4872,4872,4872,420,AG9999.SHG,2022-02-21,NA,NA,NA
4979,4979,4979,4979,360,AG9999.SHG,2022-03-01,NA,NA,NA
5104,5104,5104,5104,360,AG9999.SHG,2022-03-03,NA,NA,NA
5300,5300,5300,5300,60,AG9999.SHG,2022-03-09,NA,NA,NA
5152,5152,5152,5152,150,AG9999.SHG,2022-03-22,NA,NA,NA
5085,5085,5085,5085,150,AG9999.SHG,2022-03-23,NA,NA,NA
5242,5242,5240,5241,2190,AG9999.SHG,2022-03-25,NA,NA,NA
4973,4973,4973,4973,60,AG9999.SHG,2022-04-07,NA,NA,NA
5034,5034,5033,5033,1500,AG9999.SHG,2022-04-08,NA,NA,NA
5270,5274,5270,5271,6000,AG9999.SHG,2022-04-19,NA,NA,NA
4924,4924,4922,4923,7890,AG9999.SHG,2022-04-28,NA,NA,NA
4818,4818,4818,4818,3000,AG9999.SHG,2022-05-10,NA,NA,NA
4772,4775,4772,4773,6060,AG9999.SHG,2022-05-26,NA,NA,NA
4793,4793,4793,4793,210,AG9999.SHG,2022-06-08,NA,NA,NA
4751,4751,4751,4751,6000,AG9999.SHG,2022-06-13,NA,NA,NA
4681,4681,4652,4668,10740,AG9999.SHG,2022-06-22,NA,NA,NA
4655,4655,4655,4655,60,AG9999.SHG,2022-06-23,NA,NA,NA
4547,4547,4547,4547,900,AG9999.SHG,2022-06-29,NA,NA,NA
4420,4420,4411,4415,4560,AG9999.SHG,2022-07-05,NA,NA,NA
4234,4242,4234,4237,6000,AG9999.SHG,2022-07-06,NA,NA,NA
4215,4215,4215,4215,60,AG9999.SHG,2022-07-14,NA,NA,NA
4132,4150,4132,4139,17280,AG9999.SHG,2022-07-18,NA,NA,NA
4126,4126,4126,4126,480,AG9999.SHG,2022-07-21,NA,NA,NA
4144,4145,4144,4144,6000,AG9999.SHG,2022-07-26,NA,NA,NA
4167,4167,4167,4167,30,AG9999.SHG,2022-07-27,NA,NA,NA
4525,4531,4525,4528,3480,AG9999.SHG,2022-08-09,NA,NA,NA
4497,4497,4497,4497,6000,AG9999.SHG,2022-08-10,NA,NA,NA
4471,4471,4471,4471,30,AG9999.SHG,2022-08-16,NA,NA,NA
4373,4373,4373,4373,240,AG9999.SHG,2022-08-18,NA,NA,NA
4173,4173,4173,4173,1380,AG9999.SHG,2022-09-02,NA,NA,NA
4247,4247,4247,4247,240,AG9999.SHG,2022-09-06,NA,NA,NA
4172,4172,4172,4172,120,AG9999.SHG,2022-09-07,NA,NA,NA
4260,4260,4260,4260,210,AG9999.SHG,2022-09-08,NA,NA,NA
4306,4306,4306,4306,210,AG9999.SHG,2022-09-09,NA,NA,NA
4422,4422,4422,4422,150,AG9999.SHG,2022-09-14,NA,NA,NA
4410,4410,4410,4410,30,AG9999.SHG,2022-09-16,NA,NA,NA
4462,4462,4462,4462,930,AG9999.SHG,2022-09-20,NA,NA,NA
4452,4452,4452,4452,90,AG9999.SHG,2022-09-21,NA,NA,NA
4579,4579,4575,4576,2190,AG9999.SHG,2022-10-10,NA,NA,NA
4425,4431,4425,4427,18000,AG9999.SHG,2022-10-19,NA,NA,NA
4564,4571,4564,4567,17910,AG9999.SHG,2022-10-24,NA,NA,NA
4603,4612,4602,4607,12000,AG9999.SHG,2022-10-28,NA,NA,NA
4534,4534,4534,4534,360,AG9999.SHG,2022-10-31,NA,NA,NA
4648,4648,4648,4648,12930,AG9999.SHG,2022-11-02,NA,NA,NA
4588,4588,4588,4588,1260,AG9999.SHG,2022-11-03,NA,NA,NA
4990,4990,4990,4990,660,AG9999.SHG,2022-11-24,NA,NA,NA
5300,5300,5300,5300,60,AG9999.SHG,2022-12-28,NA,NA,NA
5177,5177,5177,5177,810,AG9999.SHG,2023-01-06,NA,NA,NA
5285,5285,5285,5285,60,AG9999.SHG,2023-01-09,NA,NA,NA
5215,5215,5215,5215,60,AG9999.SHG,2023-01-10,NA,NA,NA
5221,5221,5221,5221,360,AG9999.SHG,2023-01-13,NA,NA,NA
5287,5287,5287,5287,510,AG9999.SHG,2023-01-18,NA,NA,NA
5233,5233,5233,5233,690,AG9999.SHG,2023-01-30,NA,NA,NA
5182,5182,5182,5182,150,AG9999.SHG,2023-01-31,NA,NA,NA
5229,5229,5228,5228,5640,AG9999.SHG,2023-02-01,NA,NA,NA
5205,5205,5205,5205,870,AG9999.SHG,2023-02-03,NA,NA,NA
5001,5001,5001,5001,30,AG9999.SHG,2023-02-08,NA,NA,NA
4933,4933,4933,4933,120,AG9999.SHG,2023-02-10,NA,NA,NA
4936,4936,4936,4936,60,AG9999.SHG,2023-02-13,NA,NA,NA
4939,4943,4939,4941,3000,AG9999.SHG,2023-02-14,NA,NA,NA
4995,4995,4995,4995,90,AG9999.SHG,2023-02-22,NA,NA,NA
4874,4874,4874,4874,60,AG9999.SHG,2023-02-28,NA,NA,NA
4921,4930,4921,4925,6060,AG9999.SHG,2023-03-03,NA,NA,NA
5050,5051,5050,5050,2880,AG9999.SHG,2023-03-15,NA,NA,NA
5050,5050,5050,5050,60,AG9999.SHG,2023-03-17,NA,NA,NA
5150,5150,5150,5150,30,AG9999.SHG,2023-03-21,NA,NA,NA
5210,5242,5210,5221,6000,AG9999.SHG,2023-03-24,NA,NA,NA
5204,5204,5204,5204,210,AG9999.SHG,2023-03-27,NA,NA,NA
5254,5254,5254,5254,30,AG9999.SHG,2023-03-30,NA,NA,NA
5364,5364,5364,5364,180,AG9999.SHG,2023-04-04,NA,NA,NA
5590,5594,5590,5592,6000,AG9999.SHG,2023-04-07,NA,NA,NA
5634,5634,5634,5634,120,AG9999.SHG,2023-04-18,NA,NA,NA
5668,5668,5668,5668,180,AG9999.SHG,2023-04-20,NA,NA,NA
5658,5658,5658,5658,6000,AG9999.SHG,2023-04-25,NA,NA,NA
5615,5616,5615,5615,7410,AG9999.SHG,2023-04-28,NA,NA,NA
5866,5866,5866,5866,360,AG9999.SHG,2023-05-05,NA,NA,NA
5778,5778,5778,5778,630,AG9999.SHG,2023-05-09,NA,NA,NA
5333,5333,5333,5333,30,AG9999.SHG,2023-05-25,NA,NA,NA
5397,5397,5397,5397,30,AG9999.SHG,2023-05-31,NA,NA,NA
5487,5494,5487,5490,3300,AG9999.SHG,2023-06-05,NA,NA,NA
5513,5516,5513,5514,6000,AG9999.SHG,2023-06-07,NA,NA,NA
5655,5655,5655,5655,30,AG9999.SHG,2023-06-14,NA,NA,NA
5532,5532,5532,5532,7800,AG9999.SHG,2023-07-04,NA,NA,NA
5558,5558,5558,5558,120,AG9999.SHG,2023-07-10,NA,NA,NA
5755,5757,5755,5756,7200,AG9999.SHG,2023-07-28,NA,NA,NA
5688,5688,5688,5688,240,AG9999.SHG,2023-08-07,NA,NA,NA
5280,5280,5280,5280,60,AG9999.SHG,2023-08-10,NA,NA,NA
5620,5620,5620,5620,9540,AG9999.SHG,2023-08-15,NA,NA,NA
5958,5958,5958,5958,180,AG9999.SHG,2023-08-31,NA,NA,NA
5952,5952,5952,5952,30,AG9999.SHG,2023-09-01,NA,NA,NA
5915,5915,5915,5915,1200,AG9999.SHG,2023-09-04,NA,NA,NA
5936,5936,5936,5936,90,AG9999.SHG,2023-09-14,NA,NA,NA
5872,5872,5872,5872,4890,AG9999.SHG,2023-09-19,NA,NA,NA
5885,5885,5885,5885,60,AG9999.SHG,2023-09-26,NA,NA,NA
5698,5698,5698,5698,420,AG9999.SHG,2023-10-10,NA,NA,NA
5679,5679,5679,5679,60,AG9999.SHG,2023-10-11,NA,NA,NA
5842,5842,5836,5839,18000,AG9999.SHG,2023-10-25,NA,NA,NA
5896,5898,5880,5885,25050,AG9999.SHG,2023-10-30,NA,NA,NA
5825,5825,5825,5825,3900,AG9999.SHG,2023-11-07,NA,NA,NA
5748,5757,5748,5755,2010,AG9999.SHG,2023-11-08,NA,NA,NA
5788,5788,5788,5788,1200,AG9999.SHG,2023-11-10,NA,NA,NA
5735,5735,5735,5735,60,AG9999.SHG,2023-11-14,NA,NA,NA
5878,5878,5878,5878,240,AG9999.SHG,2023-11-16,NA,NA,NA
5917,5926,5917,5919,7860,AG9999.SHG,2023-11-17,NA,NA,NA
5877,5877,5877,5877,690,AG9999.SHG,2023-11-23,NA,NA,NA
5876,5882,5876,5878,22560,AG9999.SHG,2023-11-24,NA,NA,NA
6145,6145,6145,6145,270,AG9999.SHG,2023-11-27,NA,NA,NA
6155,6155,6155,6155,180,AG9999.SHG,2023-11-28,NA,NA,NA
5964,5969,5964,5966,3000,AG9999.SHG,2023-12-07,NA,NA,NA
5856,5856,5856,5856,540,AG9999.SHG,2023-12-12,NA,NA,NA
5865,5865,5865,5865,600,AG9999.SHG,2023-12-13,NA,NA,NA
6009,6009,6009,6009,360,AG9999.SHG,2023-12-14,NA,NA,NA
6032,6034,6032,6033,10290,AG9999.SHG,2023-12-15,NA,NA,NA
6042,6042,6042,6042,960,AG9999.SHG,2023-12-20,NA,NA,NA
6056,6062,6056,6059,3210,AG9999.SHG,2024-01-02,NA,NA,NA
5918,5918,5918,5918,510,AG9999.SHG,2024-01-05,NA,NA,NA
5928,5928,5928,5928,30,AG9999.SHG,2024-01-09,NA,NA,NA
5917,5924,5917,5920,6900,AG9999.SHG,2024-01-11,NA,NA,NA
6019,6019,6019,6019,30,AG9999.SHG,2024-01-15,NA,NA,NA
5979,5979,5979,5979,90,AG9999.SHG,2024-01-16,NA,NA,NA
5918,5920,5918,5919,3000,AG9999.SHG,2024-01-18,NA,NA,NA
5953,5953,5953,5953,120,AG9999.SHG,2024-01-19,NA,NA,NA
5881,5881,5881,5881,390,AG9999.SHG,2024-01-22,NA,NA,NA
5823,5823,5823,5823,330,AG9999.SHG,2024-01-23,NA,NA,NA
5916,5918,5916,5917,3000,AG9999.SHG,2024-01-25,NA,NA,NA
5988,5988,5988,5988,150,AG9999.SHG,2024-01-30,NA,NA,NA
5995,5995,5995,5995,210,AG9999.SHG,2024-02-19,NA,NA,NA
5928,5928,5928,5928,150,AG9999.SHG,2024-02-23,NA,NA,NA
5936,5936,5932,5933,6000,AG9999.SHG,2024-02-26,NA,NA,NA
5902,5902,5902,5902,180,AG9999.SHG,2024-02-27,NA,NA,NA
5891,5891,5891,5891,270,AG9999.SHG,2024-02-28,NA,NA,NA
6137,6137,6137,6137,360,AG9999.SHG,2024-03-06,NA,NA,NA
6163,6163,6163,6163,150,AG9999.SHG,2024-03-13,NA,NA,NA
6410,6410,6410,6410,1200,AG9999.SHG,2024-03-25,NA,NA,NA
6373,6373,6373,6373,6000,AG9999.SHG,2024-03-26,NA,NA,NA
6375,6400,6375,6387,3000,AG9999.SHG,2024-03-28,NA,NA,NA
7025,7025,7025,7025,60,AG9999.SHG,2024-04-16,NA,NA,NA
7377,7380,7377,7377,3780,AG9999.SHG,2024-04-17,NA,NA,NA
7110,7111,7107,7109,7590,AG9999.SHG,2024-04-29,NA,NA,NA
7322,7328,7322,7325,3000,AG9999.SHG,2024-05-13,NA,NA,NA
7960,7960,7960,7960,1800,AG9999.SHG,2024-05-23,NA,NA,NA
7955,7955,7955,7955,360,AG9999.SHG,2024-05-24,NA,NA,NA
8058,8058,8058,8058,360,AG9999.SHG,2024-05-27,NA,NA,NA
8070,8070,8070,8070,120,AG9999.SHG,2024-06-04,NA,NA,NA
7793,7793,7793,7793,90,AG9999.SHG,2024-06-05,NA,NA,NA
7798,7798,7798,7798,3000,AG9999.SHG,2024-06-18,NA,NA,NA
7992,7992,7992,7992,30,AG9999.SHG,2024-06-20,NA,NA,NA
8088,8088,8088,8088,360,AG9999.SHG,2024-06-21,NA,NA,NA
8075,8098,8075,8093,3240,AG9999.SHG,2024-07-05,NA,NA,NA
8243,8243,8243,8243,1800,AG9999.SHG,2024-07-08,NA,NA,NA
7630,7630,7630,7630,30,AG9999.SHG,2024-07-22,NA,NA,NA
7579,7579,7579,7579,360,AG9999.SHG,2024-07-23,NA,NA,NA
7668,7668,7668,7668,30,AG9999.SHG,2024-07-24,NA,NA,NA
7315,7315,7315,7315,60,AG9999.SHG,2024-07-29,NA,NA,NA
7231,7231,7231,7231,120,AG9999.SHG,2024-08-05,NA,NA,NA
7038,7038,7038,7038,1020,AG9999.SHG,2024-08-06,NA,NA,NA
6933,6933,6933,6933,30,AG9999.SHG,2024-08-08,NA,NA,NA
7545,7545,7543,7544,3000,AG9999.SHG,2024-08-21,NA,NA,NA
7540,7540,7540,7540,210,AG9999.SHG,2024-08-29,NA,NA,NA
7751,7751,7751,7751,180,AG9999.SHG,2024-10-08,NA,NA,NA
7519,7519,7519,7519,120,AG9999.SHG,2024-10-09,NA,NA,NA
7838,7853,7835,7840,18060,AG9999.SHG,2024-10-16,NA,NA,NA
8310,8310,8310,8310,720,AG9999.SHG,2024-10-21,NA,NA,NA
8240,8334,8240,8329,3120,AG9999.SHG,2024-10-22,NA,NA,NA
8405,8405,8405,8405,60,AG9999.SHG,2024-10-23,NA,NA,NA
8129,8170,8129,8152,11640,AG9999.SHG,2024-10-28,NA,NA,NA
8285,8285,8262,8273,7680,AG9999.SHG,2024-10-29,NA,NA,NA
8339,8339,8339,8339,450,AG9999.SHG,2024-10-30,NA,NA,NA
8018,8018,8018,8018,180,AG9999.SHG,2024-11-06,NA,NA,NA
7711,7718,7711,7714,4530,AG9999.SHG,2024-11-07,NA,NA,NA
7762,7762,7762,7762,660,AG9999.SHG,2024-11-08,NA,NA,NA
7798,7798,7798,7798,150,AG9999.SHG,2024-11-11,NA,NA,NA
7740,7740,7585,7602,270,AG9999.SHG,2024-11-12,NA,NA,NA
7718,7718,7718,7718,30,AG9999.SHG,2024-11-13,NA,NA,NA
7530,7530,7530,7530,300,AG9999.SHG,2024-11-14,NA,NA,NA
7824,7824,7824,7824,30,AG9999.SHG,2024-11-19,NA,NA,NA
7769,7769,7635,7699,12000,AG9999.SHG,2024-11-25,NA,NA,NA
7624,7624,7624,7624,3000,AG9999.SHG,2024-11-27,NA,NA,NA
7598,7598,7598,7598,30,AG9999.SHG,2024-12-02,NA,NA,NA
7792,7801,7792,7797,5010,AG9999.SHG,2024-12-06,NA,NA,NA
7956,7956,7956,7956,120,AG9999.SHG,2024-12-11,NA,NA,NA
8023,8023,8023,8023,360,AG9999.SHG,2024-12-12,NA,NA,NA
7818,7818,7797,7805,3090,AG9999.SHG,2024-12-13,NA,NA,NA
7510,7510,7510,7510,120,AG9999.SHG,2024-12-19,NA,NA,NA
7620,7620,7620,7620,1590,AG9999.SHG,2024-12-27,NA,NA,NA
