open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
222.86,225.0,222.81,224.77,19057.54,AU9999.SHG,2016-01-04,NA,NA,NA
225.59,227.1,225.01,226.65,18831.96,AU9999.SHG,2016-01-05,NA,NA,NA
227.99,230.0,226.11,228.09,24511.94,AU9999.SHG,2016-01-06,NA,NA,NA
229.5,234.65,229.06,233.24,28639.2,AU9999.SHG,2016-01-07,NA,NA,NA
234.49,235.29,231.0,233.54,31575.88,AU9999.SHG,2016-01-08,NA,NA,NA
234.5,235.1,233.0,234.89,26686.56,AU9999.SHG,2016-01-11,NA,NA,NA
234.5,234.5,231.55,232.51,34298.08,AU9999.SHG,2016-01-12,NA,NA,NA
232.51,232.51,229.13,229.27,30346.9,AU9999.SHG,2016-01-13,NA,NA,NA
230.48,232.44,228.6,231.41,37719.86,AU9999.SHG,2016-01-14,NA,NA,NA
231.99,232.0,229.0,230.5,30703.16,AU9999.SHG,2016-01-15,NA,NA,NA
230.49,232.1,230.49,231.7,46797.88,AU9999.SHG,2016-01-18,NA,NA,NA
231.8,231.8,230.37,231.3,35133.48,AU9999.SHG,2016-01-19,NA,NA,NA
230.7,232.3,230.25,232.3,44583.52,AU9999.SHG,2016-01-20,NA,NA,NA
232.99,234.28,232.0,234.17,46437.9,AU9999.SHG,2016-01-21,NA,NA,NA
233.6,234.0,232.3,232.5,25136.46,AU9999.SHG,2016-01-22,NA,NA,NA
233.35,234.0,232.51,233.69,30079.52,AU9999.SHG,2016-01-25,NA,NA,NA
234.0,237.0,233.81,237.0,24774.34,AU9999.SHG,2016-01-26,NA,NA,NA
236.5,237.99,236.0,237.09,44392.32,AU9999.SHG,2016-01-27,NA,NA,NA
236.81,237.8,236.7,236.79,31312.9,AU9999.SHG,2016-01-28,NA,NA,NA
237.98,237.98,235.9,236.48,16733.9,AU9999.SHG,2016-01-29,NA,NA,NA
235.85,238.11,235.6,238.09,25687.74,AU9999.SHG,2016-02-01,NA,NA,NA
239.5,239.5,237.8,238.5,28467.18,AU9999.SHG,2016-02-02,NA,NA,NA
238.48,239.55,238.4,238.5,29460.46,AU9999.SHG,2016-02-03,NA,NA,NA
239.15,242.0,239.0,241.8,18650.14,AU9999.SHG,2016-02-04,NA,NA,NA
242.99,244.5,242.4,243.94,13167.16,AU9999.SHG,2016-02-05,NA,NA,NA
250.0,259.95,245.0,253.7,22885.22,AU9999.SHG,2016-02-15,NA,NA,NA
252.55,253.6,250.2,251.39,19818.42,AU9999.SHG,2016-02-16,NA,NA,NA
251.39,254.4,251.39,254.0,13695.52,AU9999.SHG,2016-02-17,NA,NA,NA
252.99,253.78,252.55,253.05,18887.04,AU9999.SHG,2016-02-18,NA,NA,NA
253.49,258.0,252.55,256.65,19918.82,AU9999.SHG,2016-02-19,NA,NA,NA
257.99,258.9,254.85,254.86,16277.18,AU9999.SHG,2016-02-22,NA,NA,NA
253.01,256.26,251.0,256.15,21692.1,AU9999.SHG,2016-02-23,NA,NA,NA
256.99,258.0,255.3,256.98,25787.16,AU9999.SHG,2016-02-24,NA,NA,NA
259.0,263.3,258.0,260.32,26028.6,AU9999.SHG,2016-02-25,NA,NA,NA
260.99,260.99,258.12,260.41,20185.44,AU9999.SHG,2016-02-26,NA,NA,NA
260.85,260.85,255.6,258.86,22305.2,AU9999.SHG,2016-02-29,NA,NA,NA
258.0,262.7,181.2,261.12,15868.64,AU9999.SHG,2016-03-01,NA,NA,NA
262.45,262.8,258.5,258.66,25460.12,AU9999.SHG,2016-03-02,NA,NA,NA
260.49,261.5,259.0,261.47,30998.08,AU9999.SHG,2016-03-03,NA,NA,NA
261.99,265.0,261.0,264.74,16638.66,AU9999.SHG,2016-03-04,NA,NA,NA
265.5,267.8,263.0,265.0,20861.8,AU9999.SHG,2016-03-07,NA,NA,NA
265.0,266.61,264.8,266.29,27857.54,AU9999.SHG,2016-03-08,NA,NA,NA
266.75,266.75,262.4,263.75,33658.08,AU9999.SHG,2016-03-09,NA,NA,NA
263.5,263.55,260.9,261.43,46216.68,AU9999.SHG,2016-03-10,NA,NA,NA
262.99,268.0,259.6,264.97,19981.96,AU9999.SHG,2016-03-11,NA,NA,NA
264.97,265.75,261.95,262.08,21646.3,AU9999.SHG,2016-03-14,NA,NA,NA
262.99,263.49,257.0,257.69,36184.86,AU9999.SHG,2016-03-15,NA,NA,NA
258.65,259.49,257.2,259.09,28252.7,AU9999.SHG,2016-03-16,NA,NA,NA
258.15,263.95,258.0,263.86,34091.62,AU9999.SHG,2016-03-17,NA,NA,NA
264.0,264.49,262.0,262.46,24870.26,AU9999.SHG,2016-03-18,NA,NA,NA
262.58,262.58,259.2,259.71,17791.16,AU9999.SHG,2016-03-21,NA,NA,NA
260.44,262.22,259.5,262.1,20463.32,AU9999.SHG,2016-03-22,NA,NA,NA
261.8,262.5,257.6,258.25,25588.18,AU9999.SHG,2016-03-23,NA,NA,NA
257.81,257.99,254.33,255.0,28906.68,AU9999.SHG,2016-03-24,NA,NA,NA
255.99,256.8,255.6,256.05,22497.94,AU9999.SHG,2016-03-25,NA,NA,NA
255.98,256.8,253.93,255.78,21759.12,AU9999.SHG,2016-03-28,NA,NA,NA
255.95,256.47,255.0,255.02,33254.98,AU9999.SHG,2016-03-29,NA,NA,NA
255.02,259.32,255.02,258.68,27689.44,AU9999.SHG,2016-03-30,NA,NA,NA
258.5,262.8,255.3,255.7,13197.78,AU9999.SHG,2016-03-31,NA,NA,NA
256.77,257.19,255.81,257.0,11421.84,AU9999.SHG,2016-04-01,NA,NA,NA
257.0,257.0,254.96,255.45,30901.8,AU9999.SHG,2016-04-05,NA,NA,NA
256.98,257.1,255.68,255.99,16063.42,AU9999.SHG,2016-04-06,NA,NA,NA
255.45,256.56,255.0,255.64,19085.78,AU9999.SHG,2016-04-07,NA,NA,NA
257.0,258.45,256.52,257.3,20021.36,AU9999.SHG,2016-04-08,NA,NA,NA
257.49,261.05,257.0,260.97,20295.1,AU9999.SHG,2016-04-11,NA,NA,NA
260.0,262.63,259.98,261.3,31152.8,AU9999.SHG,2016-04-12,NA,NA,NA
262.99,263.0,259.8,259.8,25629.2,AU9999.SHG,2016-04-13,NA,NA,NA
259.0,260.47,257.0,257.99,23453.2,AU9999.SHG,2016-04-14,NA,NA,NA
258.99,258.99,256.2,256.95,25187.32,AU9999.SHG,2016-04-15,NA,NA,NA
257.99,258.5,256.3,258.28,29098.16,AU9999.SHG,2016-04-18,NA,NA,NA
258.99,260.02,256.7,259.9,26826.14,AU9999.SHG,2016-04-19,NA,NA,NA
259.8,262.0,259.6,260.0,30927.74,AU9999.SHG,2016-04-20,NA,NA,NA
260.5,263.0,259.5,262.74,49627.52,AU9999.SHG,2016-04-21,NA,NA,NA
263.0,264.7,259.8,260.44,19737.58,AU9999.SHG,2016-04-22,NA,NA,NA
260.3,261.0,257.5,259.06,29014.2,AU9999.SHG,2016-04-25,NA,NA,NA
259.3,259.79,258.0,258.4,21459.86,AU9999.SHG,2016-04-26,NA,NA,NA
257.7,260.84,257.5,260.67,34442.76,AU9999.SHG,2016-04-27,NA,NA,NA
256.29,262.2,255.5,261.5,21765.5,AU9999.SHG,2016-04-28,NA,NA,NA
260.0,266.7,260.0,266.32,15596.66,AU9999.SHG,2016-04-29,NA,NA,NA
267.0,270.8,266.35,270.69,11192.0,AU9999.SHG,2016-05-03,NA,NA,NA
275.0,275.0,267.8,268.35,24332.92,AU9999.SHG,2016-05-04,NA,NA,NA
269.49,269.72,267.2,267.6,26685.08,AU9999.SHG,2016-05-05,NA,NA,NA
268.0,269.19,266.2,268.23,16573.26,AU9999.SHG,2016-05-06,NA,NA,NA
268.6,270.9,267.5,268.1,23151.74,AU9999.SHG,2016-05-09,NA,NA,NA
267.5,267.79,265.0,266.0,35177.2,AU9999.SHG,2016-05-10,NA,NA,NA
264.0,267.34,260.99,267.03,28681.86,AU9999.SHG,2016-05-11,NA,NA,NA
267.99,267.99,266.17,266.4,25654.26,AU9999.SHG,2016-05-12,NA,NA,NA
267.0,268.2,265.62,267.49,19509.74,AU9999.SHG,2016-05-13,NA,NA,NA
267.95,269.7,266.3,269.35,27012.52,AU9999.SHG,2016-05-16,NA,NA,NA
269.34,270.4,267.7,267.89,28415.52,AU9999.SHG,2016-05-17,NA,NA,NA
268.0,268.95,267.5,267.93,36369.56,AU9999.SHG,2016-05-18,NA,NA,NA
268.3,268.4,264.1,264.5,32643.7,AU9999.SHG,2016-05-19,NA,NA,NA
264.0,265.0,262.9,264.51,26127.52,AU9999.SHG,2016-05-20,NA,NA,NA
265.88,265.88,263.6,264.11,27147.88,AU9999.SHG,2016-05-23,NA,NA,NA
263.01,264.1,262.3,262.45,36155.46,AU9999.SHG,2016-05-24,NA,NA,NA
262.45,262.5,258.4,258.45,27182.46,AU9999.SHG,2016-05-25,NA,NA,NA
259.0,260.4,258.5,259.85,25198.22,AU9999.SHG,2016-05-26,NA,NA,NA
259.5,260.39,256.44,258.03,17021.12,AU9999.SHG,2016-05-27,NA,NA,NA
258.88,258.88,254.5,255.3,19759.86,AU9999.SHG,2016-05-30,NA,NA,NA
256.79,257.6,255.7,256.9,19787.9,AU9999.SHG,2016-05-31,NA,NA,NA
257.48,258.85,256.6,258.3,17347.9,AU9999.SHG,2016-06-01,NA,NA,NA
258.25,258.88,256.5,257.98,26672.12,AU9999.SHG,2016-06-02,NA,NA,NA
258.85,258.85,256.8,257.4,16367.54,AU9999.SHG,2016-06-03,NA,NA,NA
257.39,262.8,257.3,262.49,27084.46,AU9999.SHG,2016-06-06,NA,NA,NA
263.0,263.7,262.0,262.9,32831.54,AU9999.SHG,2016-06-07,NA,NA,NA
262.95,265.48,261.7,265.1,19212.62,AU9999.SHG,2016-06-08,NA,NA,NA
265.1,272.28,265.1,271.75,25732.64,AU9999.SHG,2016-06-13,NA,NA,NA
271.75,278.0,271.0,271.5,38777.26,AU9999.SHG,2016-06-14,NA,NA,NA
271.5,273.4,271.5,272.78,54823.0,AU9999.SHG,2016-06-15,NA,NA,NA
272.7,278.19,271.9,277.66,21906.46,AU9999.SHG,2016-06-16,NA,NA,NA
276.01,278.52,270.5,272.7,22323.46,AU9999.SHG,2016-06-17,NA,NA,NA
273.99,274.5,271.68,272.0,26537.46,AU9999.SHG,2016-06-20,NA,NA,NA
272.0,273.2,271.2,271.64,25924.62,AU9999.SHG,2016-06-21,NA,NA,NA
269.0,270.4,267.7,268.56,29038.82,AU9999.SHG,2016-06-22,NA,NA,NA
267.01,269.09,266.19,268.9,43901.52,AU9999.SHG,2016-06-23,NA,NA,NA
268.2,283.5,267.4,281.44,29026.82,AU9999.SHG,2016-06-24,NA,NA,NA
281.45,283.59,279.01,282.84,23556.26,AU9999.SHG,2016-06-27,NA,NA,NA
284.0,284.0,281.6,281.67,25471.4,AU9999.SHG,2016-06-28,NA,NA,NA
281.67,283.4,280.8,283.0,42300.56,AU9999.SHG,2016-06-29,NA,NA,NA
282.99,283.59,281.35,281.5,16564.94,AU9999.SHG,2016-06-30,NA,NA,NA
282.95,286.37,281.9,285.89,21480.5,AU9999.SHG,2016-07-01,NA,NA,NA
285.0,291.25,281.0,289.87,22421.86,AU9999.SHG,2016-07-04,NA,NA,NA
300.0,300.0,287.3,288.68,18314.04,AU9999.SHG,2016-07-05,NA,NA,NA
289.99,295.5,288.21,293.82,27635.62,AU9999.SHG,2016-07-06,NA,NA,NA
295.99,295.99,293.77,294.25,31974.32,AU9999.SHG,2016-07-07,NA,NA,NA
291.09,293.99,290.41,291.63,18208.48,AU9999.SHG,2016-07-08,NA,NA,NA
292.28,295.2,288.0,293.0,27659.32,AU9999.SHG,2016-07-11,NA,NA,NA
292.01,293.28,291.5,292.4,23508.52,AU9999.SHG,2016-07-12,NA,NA,NA
292.0,292.0,286.4,289.42,33471.1,AU9999.SHG,2016-07-13,NA,NA,NA
292.0,292.0,286.88,287.4,27228.38,AU9999.SHG,2016-07-14,NA,NA,NA
286.99,287.4,284.7,287.04,30075.16,AU9999.SHG,2016-07-15,NA,NA,NA
287.99,287.99,285.5,286.29,23269.84,AU9999.SHG,2016-07-18,NA,NA,NA
286.0,288.44,286.0,287.02,21611.54,AU9999.SHG,2016-07-19,NA,NA,NA
288.2,288.2,285.58,285.85,25981.66,AU9999.SHG,2016-07-20,NA,NA,NA
285.16,285.16,282.2,283.34,19341.5,AU9999.SHG,2016-07-21,NA,NA,NA
283.9,286.3,283.0,285.0,12231.46,AU9999.SHG,2016-07-22,NA,NA,NA
285.8,285.8,282.8,283.27,16607.08,AU9999.SHG,2016-07-25,NA,NA,NA
284.99,284.99,282.6,283.97,16024.6,AU9999.SHG,2016-07-26,NA,NA,NA
284.0,284.19,282.56,283.63,14467.68,AU9999.SHG,2016-07-27,NA,NA,NA
283.2,287.95,283.2,287.71,22448.04,AU9999.SHG,2016-07-28,NA,NA,NA
288.88,288.88,285.71,285.83,10606.58,AU9999.SHG,2016-07-29,NA,NA,NA
286.95,288.67,286.0,288.17,14321.58,AU9999.SHG,2016-08-01,NA,NA,NA
288.99,290.4,288.08,290.1,8437.26,AU9999.SHG,2016-08-02,NA,NA,NA
290.99,291.9,290.11,291.9,22726.9,AU9999.SHG,2016-08-03,NA,NA,NA
291.89,291.89,288.38,289.05,17259.94,AU9999.SHG,2016-08-04,NA,NA,NA
290.88,292.2,290.31,292.12,12291.44,AU9999.SHG,2016-08-05,NA,NA,NA
291.99,291.99,285.87,286.42,23001.3,AU9999.SHG,2016-08-08,NA,NA,NA
286.42,289.0,285.31,289.0,16803.12,AU9999.SHG,2016-08-09,NA,NA,NA
289.0,290.07,285.85,289.59,14970.0,AU9999.SHG,2016-08-10,NA,NA,NA
289.59,289.98,287.05,287.84,29189.32,AU9999.SHG,2016-08-11,NA,NA,NA
287.98,289.28,286.58,286.8,21594.64,AU9999.SHG,2016-08-12,NA,NA,NA
287.99,289.3,285.8,287.35,18762.48,AU9999.SHG,2016-08-15,NA,NA,NA
287.99,288.65,286.4,287.98,19383.16,AU9999.SHG,2016-08-16,NA,NA,NA
289.2,289.6,286.79,286.79,25321.7,AU9999.SHG,2016-08-17,NA,NA,NA
287.2,289.3,287.0,288.87,20227.88,AU9999.SHG,2016-08-18,NA,NA,NA
288.3,288.99,287.7,288.2,15392.24,AU9999.SHG,2016-08-19,NA,NA,NA
287.7,288.5,286.11,286.35,17898.08,AU9999.SHG,2016-08-22,NA,NA,NA
286.95,287.5,286.23,286.82,17281.6,AU9999.SHG,2016-08-23,NA,NA,NA
287.9,287.9,286.7,286.7,18278.78,AU9999.SHG,2016-08-24,NA,NA,NA
287.29,287.29,284.2,284.89,19823.08,AU9999.SHG,2016-08-25,NA,NA,NA
284.2,284.9,283.22,284.89,24873.92,AU9999.SHG,2016-08-26,NA,NA,NA
285.2,287.28,283.3,283.5,27683.24,AU9999.SHG,2016-08-29,NA,NA,NA
283.9,285.0,283.0,283.99,32914.84,AU9999.SHG,2016-08-30,NA,NA,NA
