open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
283.98,285.88,283.98,285.8,24644.32,AU9999.SHG,2019-01-02,NA,NA,NA
285.89,287.98,285.3,287.31,20577.26,AU9999.SHG,2019-01-03,NA,NA,NA
287.31,289.3,285.72,287.49,23927.46,AU9999.SHG,2019-01-04,NA,NA,NA
287.49,288.0,284.8,286.18,23231.26,AU9999.SHG,2019-01-07,NA,NA,NA
287.37,287.37,284.6,284.75,30055.84,AU9999.SHG,2019-01-08,NA,NA,NA
286.0,286.0,283.65,283.88,32303.0,AU9999.SHG,2019-01-09,NA,NA,NA
285.0,285.3,282.51,283.84,30480.46,AU9999.SHG,2019-01-10,NA,NA,NA
284.99,284.99,282.61,283.2,32146.48,AU9999.SHG,2019-01-11,NA,NA,NA
283.49,283.5,282.03,283.5,23254.5,AU9999.SHG,2019-01-14,NA,NA,NA
283.95,284.25,282.2,282.32,29027.88,AU9999.SHG,2019-01-15,NA,NA,NA
284.0,284.0,282.02,282.97,30899.02,AU9999.SHG,2019-01-16,NA,NA,NA
283.3,283.4,282.2,283.1,33385.22,AU9999.SHG,2019-01-17,NA,NA,NA
284.0,284.0,283.1,283.28,34404.46,AU9999.SHG,2019-01-18,NA,NA,NA
284.0,284.0,281.87,282.18,25045.22,AU9999.SHG,2019-01-21,NA,NA,NA
282.6,282.89,279.35,282.82,28417.6,AU9999.SHG,2019-01-22,NA,NA,NA
284.0,284.0,282.13,282.34,18725.6,AU9999.SHG,2019-01-23,NA,NA,NA
283.49,283.49,282.1,282.6,22981.18,AU9999.SHG,2019-01-24,NA,NA,NA
282.6,282.6,281.7,282.39,17548.66,AU9999.SHG,2019-01-25,NA,NA,NA
282.75,284.8,281.53,284.45,20421.94,AU9999.SHG,2019-01-28,NA,NA,NA
284.98,286.1,283.55,285.92,28823.08,AU9999.SHG,2019-01-29,NA,NA,NA
286.7,293.49,286.1,286.72,23559.38,AU9999.SHG,2019-01-30,NA,NA,NA
286.55,286.8,285.61,286.7,18102.78,AU9999.SHG,2019-01-31,NA,NA,NA
287.15,287.85,286.68,287.42,38854.06,AU9999.SHG,2019-02-01,NA,NA,NA
286.51,287.8,286.51,287.43,14000.94,AU9999.SHG,2019-02-11,NA,NA,NA
287.75,291.8,281.4,287.8,13726.04,AU9999.SHG,2019-02-12,NA,NA,NA
288.49,288.49,287.07,287.07,15872.78,AU9999.SHG,2019-02-13,NA,NA,NA
287.42,288.16,286.01,286.5,12031.14,AU9999.SHG,2019-02-14,NA,NA,NA
286.7,288.57,286.06,288.41,9887.36,AU9999.SHG,2019-02-15,NA,NA,NA
289.0,290.08,288.2,289.98,16916.04,AU9999.SHG,2019-02-18,NA,NA,NA
290.8,291.0,289.1,290.67,14158.28,AU9999.SHG,2019-02-19,NA,NA,NA
292.2,293.18,291.0,292.33,18635.5,AU9999.SHG,2019-02-20,NA,NA,NA
293.8,293.8,290.56,290.71,18766.96,AU9999.SHG,2019-02-21,NA,NA,NA
291.49,291.49,288.5,288.91,17030.9,AU9999.SHG,2019-02-22,NA,NA,NA
288.91,289.8,287.62,288.33,23433.54,AU9999.SHG,2019-02-25,NA,NA,NA
289.2,289.2,287.2,288.0,16008.14,AU9999.SHG,2019-02-26,NA,NA,NA
288.97,288.97,280.6,287.89,23247.8,AU9999.SHG,2019-02-27,NA,NA,NA
287.08,287.98,285.1,286.02,13607.76,AU9999.SHG,2019-02-28,NA,NA,NA
288.2,288.2,284.4,284.49,20254.0,AU9999.SHG,2019-03-01,NA,NA,NA
285.76,285.76,280.7,280.71,17908.48,AU9999.SHG,2019-03-04,NA,NA,NA
280.73,280.73,278.0,279.5,15021.82,AU9999.SHG,2019-03-05,NA,NA,NA
