time,close
2025-01-02,621.99
2025-01-03,626.87
2025-01-06,624.32
2025-01-07,625.0
2025-01-08,628.35
2025-01-09,630.37
2025-01-10,633.82
2025-01-13,636.9
2025-01-14,632.44
2025-01-15,634.5
2025-01-16,637.04
2025-01-17,637.63
2025-01-20,637.5
2025-01-21,639.0
2025-01-22,643.48
2025-01-23,644.02
2025-01-24,645.51
2025-01-27,643.1
2025-02-05,667.87
2025-02-06,667.38
2025-02-07,668.99
2025-02-10,679.65
2025-02-11,683.52
2025-02-12,680.21
2025-02-13,683.86
2025-02-14,686.58
2025-02-17,676.28
2025-02-18,682.85
2025-02-19,686.9
2025-02-20,689.18
2025-02-21,683.47
2025-02-24,685.58
2025-02-25,685.17
2025-02-26,679.3
2025-02-27,676.52
2025-02-28,670.78
2025-03-03,671.78
2025-03-04,679.97
2025-03-05,681.57
2025-03-06,679.7
2025-03-07,679.48
2025-03-10,681.99
2025-03-11,676.71
2025-03-12,679.43
2025-03-13,683.77
2025-03-14,692.67
2025-03-17,695.4
2025-03-18,700.8
2025-03-19,707.7
2025-03-20,709.09
2025-03-21,706.55
2025-03-24,705.92
2025-03-25,704.56
2025-03-26,707.79
2025-03-27,709.29
2025-03-28,721.03
2025-03-31,730.8
2025-04-01,735.84
2025-04-02,732.5
2025-04-03,738.94
2025-04-07,713.98
2025-04-08,717.5
2025-04-09,728.88
2025-04-10,741.26
2025-04-11,757.1
2025-04-14,762.47
2025-04-15,762.9
2025-04-16,781.62
2025-04-17,786.0
2025-04-18,788.62
2025-04-21,804.11
2025-04-22,825.8
2025-04-23,786.99
2025-04-24,792.47
2025-04-25,785.6
2025-04-28,778.4
2025-04-29,780.05
2025-04-30,780.19
2025-05-06,792.2
2025-05-07,798.51
2025-05-08,786.5
2025-05-09,785.5
2025-05-12,759.0
2025-05-13,763.9
2025-05-14,758.38
2025-05-15,735.86
2025-05-16,746.4
2025-05-19,754.5
2025-05-20,753.49
2025-05-21,773.82
2025-05-22,778.36
2025-05-23,776.4
2025-05-26,773.94
2025-05-27,768.75
2025-05-28,769.67
2025-05-29,763.02
2025-05-30,768.79
2025-06-03,778.5
2025-06-04,779.46
2025-06-05,781.25
2025-06-06,779.88
2025-06-09,772.3
2025-06-10,772.68
2025-06-11,774.69
2025-06-12,780.54
2025-06-13,792.07
2025-06-16,788.2
2025-06-17,783.19
2025-06-18,781.85
2025-06-19,777.41
2025-06-20,777.4
2025-06-23,777.98
2025-06-24,768.87
2025-06-25,771.49
2025-06-26,773.64
2025-06-27,763.3
2025-06-30,764.43
2025-07-01,772.88
2025-07-02,770.7
2025-07-03,776.14
2025-07-04,771.9
2025-07-07,767.75
2025-07-08,771.48
2025-07-09,763.38
2025-07-10,769.73
2025-07-11,769.66
2025-07-14,777.4
2025-07-15,776.02
2025-07-16,772.4
2025-07-17,770.91
2025-07-18,773.5
2025-07-21,777.34
2025-07-22,780.35
2025-07-23,788.5
2025-07-24,775.34
2025-07-25,774.21
2025-07-28,771.8
2025-07-29,767.69
2025-07-30,769.68
2025-07-31,767.36
2025-08-01,767.29
2025-08-04,776.01
2025-08-05,779.85
2025-08-06,779.14
2025-08-07,782.08
2025-08-08,783.18
2025-08-11,775.54
2025-08-12,773.47
2025-08-13,774.96
2025-08-14,775.05
2025-08-15,773.55
2025-08-18,774.46
2025-08-19,773.05
2025-08-20,770.24
2025-08-21,772.0
2025-08-22,771.87
2025-08-25,775.85
2025-08-26,777.1
2025-08-27,778.07
2025-08-28,779.85
2025-08-29,781.71
2025-09-01,794.66
2025-09-02,799.95
2025-09-03,809.0
2025-09-04,809.19
2025-09-05,811.5
2025-09-08,821.2
2025-09-09,832.0
2025-09-10,829.75
2025-09-11,826.52
2025-09-12,830.41
2025-09-15,828.21
2025-09-16,838.73
2025-09-17,831.85
2025-09-18,824.59
2025-09-19,826.71
2025-09-22,839.5
2025-09-23,850.65
2025-09-24,856.63
2025-09-25,851.74
2025-09-26,853.0
2025-09-29,862.9
2025-09-30,871.86
2025-10-09,911.5
2025-10-10,897.63
2025-10-13,926.73
2025-10-14,940.72
2025-10-15,959.04
2025-10-16,968.14
2025-10-17,997.17
2025-10-20,974.3
2025-10-21,987.12
2025-10-22,948.8
2025-10-23,941.21
2025-10-24,935.6
2025-10-27,930.79
2025-10-28,896.6
2025-10-29,912.94
2025-10-30,906.89
2025-10-31,921.5
2025-11-03,920.0
2025-11-04,916.49
2025-11-05,910.0
2025-11-06,918.0
2025-11-07,918.03
2025-11-10,934.81
2025-11-11,946.79
2025-11-12,944.84
2025-11-13,959.14
2025-11-14,948.03
2025-11-17,931.42
2025-11-18,916.96
2025-11-19,935.33
2025-11-20,929.95
2025-11-21,924.44
2025-11-24,926.0
2025-11-25,941.54
2025-11-26,941.16
2025-11-27,943.98
2025-11-28,948.15
2025-12-01,958.46
2025-12-02,954.89
2025-12-03,950.06
2025-12-04,949.32
2025-12-05,956.5
2025-12-08,954.1
2025-12-09,947.13
2025-12-10,950.91
2025-12-11,952.39
2025-12-12,964.25
2025-12-15,976.82
2025-12-16,964.89
2025-12-17,972.71
2025-12-18,975.55
2025-12-19,975.51
2025-12-22,992.79
2025-12-23,1006.87
2025-12-24,1007.69
2025-12-25,1002.98
2025-12-26,1007.0
2025-12-29,1004.0
2025-12-30,981.91
2025-12-31,974.9
2026-01-05,993.57
2026-01-06,1003.01
2026-01-07,999.68
2026-01-08,996.21
2026-01-09,1003.49
2026-01-12,1023.71
2026-01-13,1025.02
2026-01-14,1038.0
2026-01-15,1034.27
2026-01-16,1032.63
2026-01-19,1045.72
2026-01-20,1056.43
2026-01-21,1087.81
2026-01-22,1083.69
2026-01-23,1110.3
2026-01-26,1144.45
2026-01-27,1144.14
2026-01-28,1184.96
2026-01-29,1243.02
2026-01-30,1163.95
2026-02-02,1030.0
2026-02-03,1097.89
2026-02-04,1140.3
2026-02-05,1105.47
2026-02-06,1093.85
2026-02-09,1116.02
2026-02-10,1116.69
2026-02-11,1123.02
2026-02-12,1122.52
2026-02-13,1108.92
2026-02-24,1147.66
2026-02-25,1145.64
2026-02-26,1144.51
2026-02-27,1142.97
2026-03-02,1199.45
2026-03-03,1182.0
2026-03-04,1153.18
2026-03-05,1149.61
2026-03-06,1139.33
2026-03-09,1140.38
2026-03-10,1144.78
2026-03-11,1150.42
2026-03-12,1146.45
2026-03-13,1131.09
2026-03-16,1114.61
2026-03-17,1115.97
2026-03-18,1111.89
2026-03-19,1061.0
2026-03-20,1041.59
2026-03-23,924.65
2026-03-24,979.56
2026-03-25,1015.45
2026-03-26,991.36
2026-03-27,993.9
2026-03-30,1008.75
2026-03-31,1018.9
2026-04-01,1047.89
2026-04-02,1027.5
2026-04-03,1034.42
2026-04-07,1028.0
2026-04-08,1059.91
2026-04-09,1036.0
2026-04-10,1047.23
2026-04-13,1042.3
2026-04-14,1048.35
2026-04-15,1055.19
2026-04-16,1058.36
2026-04-17,1053.0
2026-04-20,1053.98
2026-04-21,1050.48
2026-04-22,1049.11
2026-04-23,1037.5
2026-04-24,1033.25
2026-04-27,1037.21
2026-04-28,1020.73
2026-04-29,1009.88
2026-04-30,1013.6
2026-05-06,1026.94
2026-05-07,1038.94
2026-05-08,1032.0
2026-05-11,1025.82
2026-05-12,1028.51
2026-05-13,1029.99
2026-05-14,1028.68
2026-05-15,1006.01
2026-05-18,999.69
2026-05-19,998.0
2026-05-20,984.98
2026-05-21,991.4
2026-05-22,992.1
2026-05-25,997.0
2026-05-26,991.97
2026-05-27,982.53
2026-05-28,961.82
2026-05-29,984.96
2026-06-01,980.6
2026-06-02,987.45
2026-06-03,972.8
2026-06-04,974.5
2026-06-05,974.41
2026-06-08,941.01
2026-06-09,944.98
2026-06-10,915.63
2026-06-11,896.01
2026-06-12,907.47
2026-06-15,937.51
2026-06-16,940.48
2026-06-17,939.18
2026-06-18,935.86
2026-06-22,914.35
2026-06-23,898.93
2026-06-24,894.39
2026-06-25,874.95
2026-06-26,883.7
2026-06-29,886.74
2026-06-30,879.03
2026-07-01,868.8
2026-07-02,887.0
2026-07-03,910.98
2026-07-06,907.77
2026-07-07,902.57
2026-07-08,901.07
2026-07-09,898.79
2026-07-10,897.25
2026-07-13,886.46
2026-07-14,879.9
2026-07-15,877.99
2026-07-16,877.32
2026-07-17,872.48
2026-07-20,873.0
2026-07-21,886.95
